Input,Real_Phonemes,Reference,Prediction,WER,PER
AY | M IY N | IH T S | D AY IH NG | N AW |,AY | M IY N | IH T S | D AY IH NG | N AW |,I mean it's dying now.,I mean it's dying now.,0,0
F AO R | DH AH | TH IH NG Z | DH AE T | W IY | W AH T |,F AO R | DH AH | TH IH NG Z | DH AE T | W IY | W AA N T |,For the things that we want.,For the things that we want.,0,0.08333333333
K AE N | W IY | Y UW Z | DH IH S | F AO R | S AH M TH IH NG |,K AE N | W IY | Y UW Z | DH IH S | F AO R | S AH M TH IH NG |,Can we use this for something?,Can we use this for something?,0,0
K IY K | AH | L AA T | AH V | CH EH K S AH S |,T EY K | AH | L AA T | AH V | CH AE N S AH Z |,Take a lot of chances.,A lot of Texas.,0.4,0.25
IH T | W AA Z | AH | P AE K | T AY M | S T AH B AH L | K IY M |,IH T | W AA Z | AH | P R AY M | T AY M | F UH T B AO L | G EY M |,It was a prime time football game.,It was a pack time stabilizer.,0.4285714286,0.3103448276
IH F | Y UW | D OW N T | R IH V IY D | IH T |,IH F | Y UW | D OW N T | R IH F Y UW T | IH T |,If you don't refute it.,If you don't need it.,0.2,0.1904761905
DH AH | R OW S ER N T | AH V | DH AH | S T AE S T | W AA Z | T AE IH T IH V |,DH AH | R IH Z AH L T | AH V | DH AH | T EH S T | W AA Z | N EH G AH T IH V |,The result of the test was negative.,The romance of the past was tragic.,0.4285714286,0.303030303
DH IH S | IH Z | AE T IH NG | P AW ER Z | R IY V IH Z AH D AH D |,DH IH S | IH Z | HH EH D EY K | P AW D ER Z | R IY V IH Z AH T IH D |,This is headache powders revisited.,This is that power's revised.,0.6,0.275862069
HH AW | D AH Z | SH IY | L AY V | W IH DH | ER S EH L F |,HH AW | D AH Z | SH IY | L AY V | W IH DH | HH ER S EH L F |,How does she live with herself?,How does she live with herself?,0,0.04
IH F | Y UH R | AA N | AH | T R IH P | AO R | S AH M TH IH NG |,IH F | Y UH R | AA N | AH | T R IH P | AO R | S AH M TH IH NG |,If you're on a trip or something.,If you're on a trip or something.,0,0
W IY | M EH | SH R EH JH | ER ZH ER | SH IY | | IY R |,DH AH | T AW N | IH Z | JH AH S T | OW V ER | DH AH | HH IH L | HH IY R |,The town is just over the hill here.,We may regret our decision later.,1,0.6333333333
HH AW | D AH Z | IH T | IY P | DH AH | K AA S T | D AW N |,HH AW | D AH Z | IH T | K IY P | DH AH | K AA S T | D AW N |,How does it keep the cost down?,How does it keep the cost down?,0,0.03846153846
IH Z | F AA R | HH AE Z | D UW IH NG | TH IH NG S | F AO R | DH EH M |,AE Z | F AA R | AE Z | D UW IH NG | TH IH NG Z | F AO R | DH EH M |,As far as doing things for them.,It's far has doing things for them.,0.2857142857,0.1071428571
M AY | HH AH Z B AH N D | T R AE V AH L Z | R IY K W AH N L IY |,M AY | HH AH Z B AH N D | T R AE V AH L Z | F R IY K W AH N T L IY |,My husband travels frequently.,My husband travels rarely.,0.25,0.06666666667
AY M | G OW IH NG | T UW | V IH S AH T | F EH ER IY ER | AH N D | S UW L UW JH Y UW AH T IY |,AY M | G OW IH NG | T UW | V IH Z IH T | F L AO R AH D AH | AH N D | L UW IY Z IY AE N AH |,I'm going to visit Florida and Louisiana.,I'm going to visit Ferry and Seattle.,0.2857142857,0.4210526316
AW T S AY D | DH AH | B IH L D IH NG | IH T S | N AA T | B AE D |,AW T S AY D | DH AH | B IH L D IH NG | IH T S | N AA T | B AE D |,Outside the building it's not bad.,"Outside the building, it's not bad.",0,0
HH IY R | IH T | IH N D IH T K EY AH T | W IY | P AE |,HH IY R | IH N | IH N D IY AE N AH | W IY | P EY |,Here in Indiana we pay.,Here it is. Indicate where we are.,1,0.3333333333
L AY K T | K L OW Z | AA R | B AE N D |,L AY T | K L OW DH Z | AA R | B AE D |,Light clothes are bad.,Like clothes are banned.,0.5,0.1764705882
AY V | B IH N | P R IH T IY | S IH S EH F AH L | W IH DH | DH AE T |,AY V | B IH N | P R IH T IY | S AH K S EH S F AH L | W IH DH | DH AE T |,I've been pretty successful with that.,I've been pretty successful with that.,0,0.09677419355
AY | D OW N T | K EH R | F AO R | DH AE T | AE T | AO L |,AY | D OW N T | K EH R | F AO R | DH AE T | AE T | AO L |,I don't care for that at all.,I don't care for that at all.,0,0
W IY | W ER | IH N AH R EH S T N D | AH V | DH AH | TH L AO L | K UW L Z |,W IY | W ER | IH N T AH R EH S T IH D | IH N | DH AH | L OW K AH L | S K UW L Z |,We were interested in the local schools.,We were interested of the whole thing.,0.4285714286,0.2571428571
M EY B IY | DH EH R | K AA N T IH NG | AA N | DH AE T |,M EY B IY | DH EH R | K AW N T IH NG | AA N | DH AE T |,Maybe they're counting on that.,Maybe they're counting on that.,0,0.04347826087
IH T S | AH P | B AO | R IY N | P EY |,IH T S | AH P | B AY | G R IY N | B EY |,It's up by Green Bay.,It's up to you to pay.,0.8,0.1666666667
